
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1074              [::]:0                 LISTENING       1368
  TCP    [::]:2249              [::]:0                 LISTENING       14484
  TCP    [::]:3000              [::]:0                 LISTENING       31124
  TCP    [::]:3001              [::]:0                 LISTENING       22856
  TCP    [::]:3680              [::]:0                 LISTENING       13948
  TCP    [::]:3866              [::]:0                 LISTENING       20488
  TCP    [::]:5186              [::]:0                 LISTENING       29888
  TCP    [::]:8498              [::]:0                 LISTENING       19612
  TCP    [::]:9268              [::]:0                 LISTENING       23060
  TCP    [::]:9727              [::]:0                 LISTENING       27032
  TCP    [::]:13346             [::]:0                 LISTENING       31792
  TCP    [::]:49664             [::]:0                 LISTENING       1428
  TCP    [::]:49665             [::]:0                 LISTENING       1232
  TCP    [::]:49666             [::]:0                 LISTENING       2392
  TCP    [::]:49667             [::]:0                 LISTENING       3640
  TCP    [::]:49668             [::]:0                 LISTENING       4944
  TCP    [::1]:1026             [::]:0                 LISTENING       7156
  TCP    [::1]:1078             [::]:0                 LISTENING       5492
  TCP    [::1]:3001             [::1]:2689             TIME_WAIT       0
  TCP    [::1]:3001             [::1]:3639             TIME_WAIT       0
  TCP    [::1]:3001             [::1]:5479             ESTABLISHED     22856
  TCP    [::1]:3001             [::1]:6851             TIME_WAIT       0
  TCP    [::1]:3001             [::1]:7569             TIME_WAIT       0
  TCP    [::1]:3001             [::1]:9950             TIME_WAIT       0
  TCP    [::1]:3001             [::1]:11325            TIME_WAIT       0
  TCP    [::1]:5479             [::1]:3001             ESTABLISHED     7708
  TCP    [::1]:7679             [::]:0                 LISTENING       11432
  TCP    [fe80::daac:8295:53f5:9152%45]:2553  [::]:0                 LISTENING       5492
  UDP    0.0.0.0:53             *:*                                    4120
  UDP    0.0.0.0:500            *:*                                    4144
  UDP    0.0.0.0:4500           *:*                                    4144
  UDP    0.0.0.0:5050           *:*                                    12000
  UDP    0.0.0.0:5353           *:*                                    11536
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    11536
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    7708
  UDP    0.0.0.0:5353           *:*                                    11536
  UDP    0.0.0.0:5353           *:*                                    2248
  UDP    0.0.0.0:5355           *:*                                    2248
  UDP    0.0.0.0:6771           *:*                                    5492
  UDP    0.0.0.0:6771           *:*                                    5492
  UDP    0.0.0.0:6771           *:*                                    5492
  UDP    0.0.0.0:6771           *:*                                    5492
  UDP    0.0.0.0:6771           *:*                                    5492
  UDP    0.0.0.0:50964          *:*                                    5808
  UDP    0.0.0.0:52170          *:*                                    4120
  UDP    0.0.0.0:52171          *:*                                    4120
  UDP    0.0.0.0:53211          *:*                                    22040
  UDP    0.0.0.0:54178          142.250.200.196:443                    7708
  UDP    0.0.0.0:54808          *:*                                    2248
  UDP    0.0.0.0:55153          *:*                                    22040
  UDP    0.0.0.0:55549          *:*                                    22040
  UDP    0.0.0.0:55714          *:*                                    22040
  UDP    0.0.0.0:56558          *:*                                    2248
  UDP    0.0.0.0:57364          *:*                                    22040
  UDP    0.0.0.0:58455          *:*                                    22040
  UDP    0.0.0.0:58657          142.250.200.227:443                    7708
  UDP    0.0.0.0:60580          *:*                                    2248
  UDP    0.0.0.0:62100          *:*                                    22040
  UDP    0.0.0.0:63305          *:*                                    22040
  UDP    0.0.0.0:64706          *:*                                    22040
  UDP    0.0.0.0:64714          *:*                                    22040
  UDP    0.0.0.0:65339          *:*                                    22040
  UDP    127.0.0.1:1077         *:*                                    5492
  UDP    127.0.0.1:1900         *:*                                    4852
  UDP    127.0.0.1:10010        *:*                                    12608
  UDP    127.0.0.1:49666        127.0.0.1:49667                        5168
  UDP    127.0.0.1:49667        127.0.0.1:49666                        5168
  UDP    127.0.0.1:49668        127.0.0.1:49668                        5540
  UDP    127.0.0.1:51078        *:*                                    1564
  UDP    127.0.0.1:58458        *:*                                    4852
  UDP    172.21.64.1:137        *:*                                    4
  UDP    172.21.64.1:138        *:*                                    4
  UDP    172.21.64.1:1900       *:*                                    4852
  UDP    172.21.64.1:2552       *:*                                    5492
  UDP    172.21.64.1:5353       *:*                                    5808
  UDP    172.21.64.1:5353       *:*                                    22040
  UDP    172.21.64.1:58459      *:*                                    4852
  UDP    192.168.0.108:137      *:*                                    4
  UDP    192.168.0.108:138      *:*                                    4
  UDP    192.168.0.108:1900     *:*                                    4852
  UDP    192.168.0.108:5275     *:*                                    5492
  UDP    192.168.0.108:5353     *:*                                    5808
  UDP    192.168.0.108:5353     *:*                                    22040
  UDP    192.168.0.108:58457    *:*                                    4852
  UDP    192.168.0.108:59956    *:*                                    5492
  UDP    [::]:500               *:*                                    4144
  UDP    [::]:4500              *:*                                    4144
  UDP    [::]:5353              *:*                                    7708
  UDP    [::]:5353              *:*                                    7708
  UDP    [::]:5353              *:*                                    2248
  UDP    [::]:5353              *:*                                    7708
  UDP    [::]:5353              *:*                                    11536
  UDP    [::]:5353              *:*                                    7708
  UDP    [::]:6771              *:*                                    5492
  UDP    [::]:6771              *:*                                    5492
  UDP    [::]:50965             *:*                                    5808
  UDP    [::]:52172             *:*                                    4120
  UDP    [::]:54808             *:*                                    2248
  UDP    [::]:56558             *:*                                    2248
  UDP    [::]:57365             *:*                                    22040
  UDP    [::]:60580             *:*                                    2248
  UDP    [::1]:1078             *:*                                    5492
  UDP    [::1]:1900             *:*                                    4852
  UDP    [::1]:5353             *:*                                    5808
  UDP    [::1]:5353             *:*                                    22040
  UDP    [::1]:58454            *:*                                    4852
  UDP    [fe80::daac:8295:53f5:9152%45]:1900  *:*                                    4852
  UDP    [fe80::daac:8295:53f5:9152%45]:2553  *:*                                    5492
  UDP    [fe80::daac:8295:53f5:9152%45]:58456  *:*                                    4852
